"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","All",1,0,1,0.499999,1,1,1,1,0.760136,0.421784,,,0.548822,,,,,0.106284,0.00825707,0.335493,0.224289,10.3716,9.52822,19.8998,0.100162,10.3716,9.52822,0.100162,0.112185,0.16184,0.274025,0.091356,0.128901,0,0.100162,0,0.548822,0.665737,0.106855,0.00882897,0.0011438,0.499999,0,4.5156E-06,1,1,0,0,0.548822,0.106284,0.00825707,0.260246,0.0752474
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","DisputeArises",1,0,1,0.499999,1,1,1,1,0.760136,0.421784,,,0.548822,,,,,0.106284,0.00825707,0.335493,0.224289,10.3716,9.52822,19.8998,0.100162,10.3716,9.52822,0.100162,0.112185,0.16184,0.274025,0.091356,0.128901,0,0.100162,0,0.548822,0.665737,0.106855,0.00882897,0.0011438,0.499999,0,4.5156E-06,1,1,0,0,0.548822,0.106284,0.00825707,0.260246,0.0752474
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","PFiles",1,0,1,0.499999,1,1,1,1,0.760136,0.421784,,,0.548822,,,,,0.106284,0.00825707,0.335493,0.224289,10.3716,9.52822,19.8998,0.100162,10.3716,9.52822,0.100162,0.112185,0.16184,0.274025,0.091356,0.128901,0,0.100162,0,0.548822,0.665737,0.106855,0.00882897,0.0011438,0.499999,0,4.5156E-06,1,1,0,0,0.548822,0.106284,0.00825707,0.260246,0.0752474
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","DAnswers",1,0,1,0.499999,1,1,1,1,0.760136,0.421784,,,0.548822,,,,,0.106284,0.00825707,0.335493,0.224289,10.3716,9.52822,19.8998,0.100162,10.3716,9.52822,0.100162,0.112185,0.16184,0.274025,0.091356,0.128901,0,0.100162,0,0.548822,0.665737,0.106855,0.00882897,0.0011438,0.499999,0,4.5156E-06,1,1,0,0,0.548822,0.106284,0.00825707,0.260246,0.0752474
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","Litigated",1,0,1,0.499999,1,1,1,1,0.760136,0.421784,,,0.548822,,,,,0.106284,0.00825707,0.335493,0.224289,10.3716,9.52822,19.8998,0.100162,10.3716,9.52822,0.100162,0.112185,0.16184,0.274025,0.091356,0.128901,0,0.100162,0,0.548822,0.665737,0.106855,0.00882897,0.0011438,0.499999,0,4.5156E-06,1,1,0,0,0.548822,0.106284,0.00825707,0.260246,0.0752474
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","Settles",0.5488,0,0.548822,0.648023,1,1,1,1,0.645156,0.686317,,,1,,,,,0,0,0,,10.6282,9.29676,19.925,0.075,10.6282,9.29676,0.075,0.108636,0.147768,0.256404,0.0755189,0.062977,0,0.075,0,1,0.665737,0,0,0,0.690576,0,-0.893818,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","Tried",0.3355,0,0.335493,0.325741,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.224289,10.0666,9.78342,19.85,0.15,10.0666,9.78342,0.15,0.141445,0.172321,0.313766,0.143275,0.211093,0,0.15,0,0,,0,0,0,0.27398,0,1.42189,1,1,0,0,0,0,0,0.775711,0.224289
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","0","PWins",0.0752,0,0.0752474,0.557609,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.075,8.775,19.85,0.15,11.075,8.775,0.15,0.630636,0,0.630636,0.638797,0,0,0.15,0,0,,0,0,0,0.594364,0,0.880647,1,1,0,0,0,0,0,0,1
