"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","All",1,0,1,0.499997,0.82675,0.479219,1,1,0.57849,0.15482,,,0.221325,,,,,0,0,0.257894,0.502087,10.3617,9.36501,19.7267,0.273264,10.3617,9.36501,0.273264,0.347754,0.285152,0.632906,0.417123,0.355148,0,0.273264,0,0.221325,0.211278,0,0,0,0.499999,0,-8.5952E-06,0.82675,0.479219,0.17325,0.347531,0.221325,0,0,0.128409,0.129485
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","DisputeArises",1,0,1,0.499997,0.82675,0.479219,1,1,0.57849,0.15482,,,0.221325,,,,,0,0,0.257894,0.502087,10.3617,9.36501,19.7267,0.273264,10.3617,9.36501,0.273264,0.347754,0.285152,0.632906,0.417123,0.355148,0,0.273264,0,0.221325,0.211278,0,0,0,0.499999,0,-8.5952E-06,0.82675,0.479219,0.17325,0.347531,0.221325,0,0,0.128409,0.129485
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","PFiles",0.8268,0,0.82675,0.563835,1,0.579642,1,1,0.57849,0.15482,,,0.267705,,,,,0,0,0.311937,0.502087,10.4375,9.23194,19.6695,0.330528,10.4375,9.23194,0.330528,0.420628,0.271056,0.691684,0.504533,0.35572,0,0.330528,0,0.267705,0.211278,0,0,0,0.530925,0,0.180107,1,0.579642,0,0.420358,0.267705,0,0,0.155318,0.15662
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","DAnswers",0.4792,0,0.479219,0.42756,1,1,1,1,0.57849,0.15482,,,0.461845,,,,,0,0,0.538155,0.502087,10.1384,9.40015,19.5386,0.461446,10.1384,9.40015,0.461446,0.451736,0.399936,0.851672,0.59649,0.603535,0,0.461446,0,0.461845,0.211278,0,0,0,0.464682,0,0.67532,1,1,0,0,0.461845,0,0,0.267954,0.2702
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","Litigated",0.4792,0,0.479219,0.42756,1,1,1,1,0.57849,0.15482,,,0.461845,,,,,0,0,0.538155,0.502087,10.1384,9.40015,19.5386,0.461446,10.1384,9.40015,0.461446,0.451736,0.399936,0.851672,0.59649,0.603535,0,0.461446,0,0.461845,0.211278,0,0,0,0.464682,0,0.67532,1,1,0,0,0.461845,0,0,0.267954,0.2702
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","Not Litigated",0.5208,0,0.520781,0.566653,0.667326,0,1,1,,,,,0,,,,,0,0,0,,10.5672,9.33267,19.8999,0.100099,10.5672,9.33267,0.100099,0.25207,0.179529,0.431598,0.25207,0.126583,0,0.100099,0,0,,0,0,0,0.532497,0,-0.621442,0.667326,0,0.332674,0.667326,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","Settles",0.2213,0,0.221325,0.341433,1,1,1,1,0.203859,0.218698,,,1,,,,,0,0,0,,10.0613,9.63872,19.7,0.3,10.0613,9.63872,0.3,0.192524,0.376781,0.569305,0.0923168,0.377366,0,0.3,0,1,0.211278,0,0,0,0.422686,0,0.0382982,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","Tried",0.2579,0,0.257894,0.501474,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.502087,10.2046,9.19541,19.4,0.6,10.2046,9.19541,0.6,0.674193,0.419808,1.094,1.02917,0.797635,0,0.6,0,0,,0,0,0,0.500723,0,1.22201,1,1,0,0,0,0,0,0.497913,0.502087
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Case Strength Noise 0.7","0","1","PWins",0.1295,0,0.129485,0.616488,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.3,8.1,19.4,0.6,11.3,8.1,0.6,1.34278,0,1.34278,2.04979,0,0,0.6,0,0,,0,0,0,0.557218,0,1.22317,1,1,0,0,0,0,0,0,1
