Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.04244731934626005,0.37336399607140236
D Doesn't Answer,False Negatives,Values,0.15000000000000002,0
D Doesn't Answer,False Negatives,Probabilities,0.37883749184937554,0.047734004004912796
Settles,False Negatives,Values,1.05,0.85,0.65,0.45000000000000007,0
Settles,False Negatives,Probabilities,0.00014363964485466062,0.020087781586371395,0.026783708781828543,0.02008778158637139,0.06712106399651518
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.0020899488062220343,0.0035951240362290674
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.003596841611599227,0.002090975363890799
P Loses,False Negatives,Values,1.3,0
P Loses,False Negatives,Probabilities,0.002432633636705452,0.00370634206790233
P Wins,False Negatives,Values,0.30000000000000004,0
P Wins,False Negatives,Probabilities,0.003492373753438404,0.0023889738561237318
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.37336399607140236,0.04244731934626005
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.047734004004912796,0.37883749184937554
Settles,False Positives,Values,0.85,0.65,0.44999999999999996,0.25,0
Settles,False Positives,Probabilities,0.02008778162671943,0.026783708835625898,0.020087781626719432,0.00016179190745041236,0.06710291159942595
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.0035951240362290674,0.0020899488062220343
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.002090975363890799,0.003596841611599227
P Loses,False Positives,Values,0.3,0
P Loses,False Positives,Probabilities,0.00370634206790233,0.002432633636705452
P Wins,False Positives,Values,1.3,0.30000000000000004
P Wins,False Positives,Probabilities,0.0023889738561237318,0.003492373753438404
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.37336399607140236,0.04244731934626005
D Doesn't Answer,Total Expenditures,Values,0.15000000000000002,0.15000000000000002
D Doesn't Answer,Total Expenditures,Probabilities,0.047734004004912796,0.37883749184937554
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993
Settles,Total Expenditures,Probabilities,0.04687149046234536,0.046871490368199924,0.00016179190745041236,0.00014363964485466062,0.020087781626719432,0.020087781586371395
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.0035951240362290674,0.0020899488062220343
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.002090975363890799,0.003596841611599227
P Loses,Total Expenditures,Values,0.6,0.6
P Loses,Total Expenditures,Probabilities,0.00370634206790233,0.002432633636705452
P Wins,Total Expenditures,Values,0.6000000000000001,0.6000000000000001
P Wins,Total Expenditures,Probabilities,0.0023889738561237318,0.003492373753438404
