Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.09999878261009619,0.10000121738990407
D Doesn't Answer,False Negatives,Values,0.15000000000000002,0
D Doesn't Answer,False Negatives,Probabilities,0.065972638401688,0.013716824358312077
Settles,False Negatives,Values,1.05,0.95,0.85,0.75,0.65,0.55,0.45000000000000007,0.35,0.25,0
Settles,False Negatives,Probabilities,0.004177441983682237,0.005956532228969913,0.017028687015274265,0.00463453005995285,0.07595601130569525,0.011181316061846898,0.07413510813335958,0.035499468800981544,0.05672089895076769,0.33588127037644333
P Abandons,False Negatives,Values,1.15,0
P Abandons,False Negatives,Probabilities,0.011070410151353698,0.03600531314787935
D Defaults,False Negatives,Values,0.15000000000000002,0
D Defaults,False Negatives,Probabilities,0.03744107027984533,0.014171059860081364
P Loses,False Negatives,Values,1.9,0
P Loses,False Negatives,Probabilities,8.13152205958556E-05,0.0001491090931038073
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,8.129272379623775E-05,0.0001397018463714677
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.10000121738990407,0.09999878261009619
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.013716824358312077,0.065972638401688
Settles,False Positives,Values,1.05,0.9500000000000001,0.85,0.75,0.65,0.5499999999999999,0.44999999999999996,0.35,0.25,0.050000000000000044,0
Settles,False Positives,Probabilities,0.007044813686268926,0.013629069276450368,0.04202932544875349,0.045869036396218726,0.08023731095283738,0.006267897815507028,0.06559729238851941,0.02729510710391954,0.047911417307968544,0.05672089895076769,0.22856909558976243
P Abandons,False Positives,Values,0.15,0
P Abandons,False Positives,Probabilities,0.03600531314787935,0.011070410151353698
D Defaults,False Positives,Values,1.15,0.1499999999999999
D Defaults,False Positives,Probabilities,0.014171059860081364,0.03744107027984533
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.0001491090931038073,8.13152205958556E-05
P Wins,False Positives,Values,1.9,0.8999999999999999
P Wins,False Positives,Probabilities,8.129272379623775E-05,0.0001397018463714677
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.10000121738990407,0.09999878261009619
D Doesn't Answer,Total Expenditures,Values,0.15000000000000002,0.15000000000000002
D Doesn't Answer,Total Expenditures,Probabilities,0.013716824358312077,0.065972638401688
Settles,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993
Settles,Total Expenditures,Probabilities,0.1888095557605291,0.2534928032526509,0.047911417307968544,0.004177441983682237,0.09916029730794591,0.02761974930419703
P Abandons,Total Expenditures,Values,0.3,0.3
P Abandons,Total Expenditures,Probabilities,0.03600531314787935,0.011070410151353698
D Defaults,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
D Defaults,Total Expenditures,Probabilities,0.014171059860081364,0.03744107027984533
P Loses,Total Expenditures,Values,0.5999999999999999,0.5999999999999999
P Loses,Total Expenditures,Probabilities,0.0001491090931038073,8.13152205958556E-05
P Wins,Total Expenditures,Values,0.5999999999999999,0.5999999999999999
P Wins,Total Expenditures,Probabilities,8.129272379623775E-05,0.0001397018463714677
