Equilibrium Type,Allow Abandon and Defaults,Costs Multiplier,Fee Shifting Multiplier,Fee Shifting Rule,Issue,Noise Multiplier D,Noise Multiplier P,Noise to Produce Case Strength,Probability Truly Liable,Proportion of Costs at Beginning,Relative Costs,Risk Aversion,Filter,GroupName,OptionSetName,Exploitability,Calculation Time,P Files,D Answers,P Offer,D Offer,Trial,P Win Probability,P Wealth,D Wealth,Total Wealth,Wealth Loss,P Welfare,D Welfare,Pre-Dispute Social Welfare Loss,Social Welfare Loss,Expenditures,False Positive Inaccuracy,False Negative Inaccuracy,Value If Settled,No Suit,No Answer,Settles,P Abandons,D Defaults,P Loses,P Wins,Appropriation
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,All,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Moderately Risk Averse,1.1369999999999999E-13,4,1,1,0.570518,0.429467,0.238766,0.499997,10.4768,9.47678,19.9535,0.0464537,1000.09,999.487,0,0.0464537,0.0464537,0.149829,0.146761,0.49999,0,0,0.761234,0,0,0.119384,0.119382,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Not Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Moderately Risk Averse,1.1369999999999999E-13,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Moderately Risk Averse,1.1369999999999999E-13,4,1,1,0.570518,0.429467,0.238766,0.499997,10.4768,9.47678,19.9535,0.0464537,1000.09,999.487,0,0.0464537,0.0464537,0.149829,0.146761,0.49999,0,0,0.761234,0,0,0.119384,0.119382,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Settles,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Moderately Risk Averse,1.1369999999999999E-13,4,1,1,0.482857,0.517124,0,,10.4812,9.48126,19.9625,0.0375,1000.1,999.532,0,0.0375,0.0375,0.137503,0.137501,0.49999,0,0,1,0,0,0,0,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Tried,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Moderately Risk Averse,1.1369999999999999E-13,4,1,1,0.85,0.15,1,0.499997,10.4625,9.4625,19.925,0.075,1000.07,999.343,0,0.075,0.075,0.189126,0.176284,,0,0,0,0,0,0.500003,0.499997,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,P Loses,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Moderately Risk Averse,1.1369999999999999E-13,4,1,1,0.85,0.15,1,0,9.9625,9.9625,19.925,0.075,999.985,999.985,0,0.075,0.075,0.0256851,0.32688,,0,0,0,0,0,1,0,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,P Wins,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Moderately Risk Averse,1.1369999999999999E-13,4,1,1,0.85,0.15,1,1,10.9625,8.9625,19.925,0.075,1000.16,998.701,0,0.075,0.075,0.352569,0.0256849,,0,0,0,0,0,0,1,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Truly Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Moderately Risk Averse,1.1369999999999999E-13,4,1,1,0.75607,0.615018,0.238769,0.684931,10.7065,9.24707,19.9535,0.0464538,1000.13,999.219,0,0.0464538,0.0464538,0.0061328,0.293527,0.743743,0,0,0.761231,0,0,0.0752288,0.16354,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Truly Not Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Moderately Risk Averse,1.1369999999999999E-13,4,1,1,0.384973,0.243923,0.238763,0.315065,10.2471,9.70648,19.9535,0.0464536,1000.06,999.756,0,0.0464536,0.0464536,0.293519,0,0.256249,0,0,0.761237,0,0,0.163537,0.075226,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,All,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Risk Neutral,-1.776E-15,3,1,1,0.862568,0.137438,1,0.499991,10.4625,9.46251,19.925,0.075,10.4625,9.46251,0,0.075,0.075,0.14282,0.128173,,0,0,0,0,0,0.500009,0.499991,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Not Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Risk Neutral,-1.776E-15,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Risk Neutral,-1.776E-15,3,1,1,0.862568,0.137438,1,0.499991,10.4625,9.46251,19.925,0.075,10.4625,9.46251,0,0.075,0.075,0.14282,0.128173,,0,0,0,0,0,0.500009,0.499991,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Settles,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Risk Neutral,-1.776E-15,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Tried,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Risk Neutral,-1.776E-15,3,1,1,0.862568,0.137438,1,0.499991,10.4625,9.46251,19.925,0.075,10.4625,9.46251,0,0.075,0.075,0.14282,0.128173,,0,0,0,0,0,0.500009,0.499991,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,P Loses,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Risk Neutral,-1.776E-15,3,1,1,0.813658,0.0885298,1,0,9.9625,9.9625,19.925,0.075,9.9625,9.9625,0,0.075,0.075,0.0292934,0.22705,,0,0,0,0,0,1,0,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,P Wins,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Risk Neutral,-1.776E-15,3,1,1,0.91148,0.186349,1,1,10.9625,8.9625,19.925,0.075,10.9625,8.9625,0,0.075,0.075,0.256351,0.0292931,,0,0,0,0,0,0,1,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Truly Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Risk Neutral,-1.776E-15,3,1,1,0.911323,0.186192,1,0.781149,10.7436,9.18135,19.925,0.075,10.7436,9.18135,0,0.075,0.075,0.0292931,0.256351,,0,0,0,0,0,0.218851,0.781149,0
Only Eq,true,0.125,0,English,Liability,1,1,0.35,0.5,0.5,1,Risk Neutral,Truly Not Liable,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0 Risk Neutral,-1.776E-15,3,1,1,0.813814,0.0886864,1,0.218843,10.1813,9.74366,19.925,0.075,10.1813,9.74366,0,0.075,0.075,0.256343,0,,0,0,0,0,0,0.781157,0.218843,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,All,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Moderately Risk Averse,-1.1369999999999999E-13,4,1,1,0.55487,0.482184,0.276467,0.357113,10.4744,9.47772,19.9521,0.0478675,1000.09,999.503,0,0.0478675,0.0478675,0.155732,0.152258,0.581753,0,0,0.689464,0.0340682,0,0.177737,0.09873,0
Only Eq,true,0.125,0.5,English,Liability,1,1,0.35,0.5,0.5,1,Moderately Risk Averse,Not Litigated,,FSA Costs Multiplier 0.125 Fee Shifting Multiplier 0.5 Moderately Risk Averse,-1.1369999999999999E-13,4,,,,,,,,,,,,,,,,,,,,,,,,,,
