"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","All",1,0,1,0.499995,0.664365,0.238641,1,1,0.52939,0.1,,,0.0650217,,,,,0.072853,0.0294713,0.053084,0.570906,10.29,9.40722,19.6972,0.302752,10.29,9.40722,0.302752,0.179752,0.239739,0.419491,0.171569,0.184679,0,0.302752,0,0.0650217,0.1,0.0819582,0.0385765,0.0182105,0.499994,0,7.5023E-06,0.664365,0.238641,0.335635,0.425724,0.0650217,0.072853,0.0294713,0.0227782,0.0303061
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","DisputeArises",1,0,1,0.499995,0.664365,0.238641,1,1,0.52939,0.1,,,0.0650217,,,,,0.072853,0.0294713,0.053084,0.570906,10.29,9.40722,19.6972,0.302752,10.29,9.40722,0.302752,0.179752,0.239739,0.419491,0.171569,0.184679,0,0.302752,0,0.0650217,0.1,0.0819582,0.0385765,0.0182105,0.499994,0,7.5023E-06,0.664365,0.238641,0.335635,0.425724,0.0650217,0.072853,0.0294713,0.0227782,0.0303061
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","PFiles",0.6644,0,0.664365,0.636429,1,0.359201,1,1,0.52939,0.1,,,0.0978704,,,,,0.109658,0.0443601,0.079902,0.570906,10.4366,9.10775,19.5443,0.455702,10.4366,9.10775,0.455702,0.270563,0.27944,0.550003,0.258245,0.196564,0,0.455702,0,0.0978704,0.1,0.123363,0.0580653,0.0274104,0.671176,0,0.273395,1,0.359201,0,0.640799,0.0978704,0.109658,0.0443601,0.0342856,0.0456167
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","DAnswers",0.2386,0,0.238641,0.425775,1,1,1,1,0.52939,0.1,,,0.272467,,,,,0.305283,0.123496,0.222444,0.570906,9.96657,9.29997,19.2665,0.733467,9.96657,9.29997,0.733467,0.43576,0.338005,0.773765,0.401468,0.415243,0,0.733467,0,0.272467,0.1,0.343438,0.161651,0.0763094,0.402043,0,1.12423,1,1,0,0,0.272467,0.305283,0.123496,0.0954496,0.126995
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","Litigated",0.2386,0,0.238641,0.425775,1,1,1,1,0.52939,0.1,,,0.272467,,,,,0.305283,0.123496,0.222444,0.570906,9.96657,9.29997,19.2665,0.733467,9.96657,9.29997,0.733467,0.43576,0.338005,0.773765,0.401468,0.415243,0,0.733467,0,0.272467,0.1,0.343438,0.161651,0.0763094,0.402043,0,1.12423,1,1,0,0,0.272467,0.305283,0.123496,0.0954496,0.126995
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","Not Litigated",0.7614,0,0.761359,0.523259,0.559163,0,1,1,,,,,0,,,,,0,0,0,,10.3914,9.44084,19.8323,0.167749,10.3914,9.44084,0.167749,0.0995092,0.208938,0.308447,0.0995092,0.11241,0,0.167749,0,0,,0,0,0,0.530696,0,-0.352369,0.559163,0,0.440837,0.559163,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","Settles",0.065,0,0.0650217,0.276426,1,1,1,1,0.1,0.1,,,1,,,,,0,0,0,,9.8,9.6,19.4,0.6,9.8,9.6,0.6,0.31688,0.24936,0.56624,0.126752,0.299232,0,0.6,0,1,0.1,0,0,0,0.2078,0,0.41287,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","Tried",0.0531,0,0.0530843,0.551116,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.570906,10.0492,8.75083,18.8,1.2,10.0492,8.75083,1.2,0.805412,0.433739,1.23915,1.12105,0.634815,0,1.2,0,0,,0,0,0,0.57045,0,2.1439,1,1,0,0,0,0,0,0.429094,0.570906
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Fee Rule Margin","0","1","PWins",0.0303,0,0.0303061,0.646898,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,10.7446,8.05544,18.8,1.2,10.7446,8.05544,1.2,1.23714,0.238813,1.47595,1.85945,0.143288,0,1.2,0,0,,0,0,0,0.707416,0,2.06551,1,1,0,0,0,0,0,0,1
