Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,0.975,0.875,0.775,0.725,0.675,0.625,0.575,0.525,0.475,0.42500000000000004,0.375,0.325,0.275,0.2749999999999999,0.22499999999999998,0.17500000000000004,0.17499999999999993,0.125,0.07500000000000001,0.025000000000000022,0.02499999999999991,0,0
Settles,False Negatives,Probabilities,2.329002636955194E-14,5.474285934228298E-11,2.6378202319716267E-07,3.654737872007189E-07,6.3809225749340695E-09,2.1293337341558212E-05,0.0035860810644187105,0.002594928090866386,0.005164578941296602,9.242030168500472E-05,0.029628623648688783,0.08156117426280707,0.05993436955725229,0.01517130956005291,0.14398368460553992,0.002496062123998004,0.13167774634490254,0.07323284299302335,0.0813427913613923,0.01584414323715274,0.010768231723546262,0,0.21000310355453675
P Abandons,False Negatives,Values,
P Abandons,False Negatives,Probabilities,
D Defaults,False Negatives,Values,
D Defaults,False Negatives,Probabilities,
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,1.45,1.2,0.95,0.9,0.7,0.65,0.44999999999999996,0.4,0.19999999999999996,0.15000000000000002,0.15,0,0
P Wins,False Negatives,Probabilities,6.27506973857862E-08,3.3944311731792966E-05,0.002602410058269829,3.913216499137811E-11,0.014455404931922981,1.0953885806399343E-05,0.00028964258021584564,0.018731116054278525,1.099552824803659E-09,0.05789029325363336,0.013537658399491762,0,0.025344492235267177
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,0.975,0.975,0.875,0.875,0.7749999999999999,0.7749999999999999,0.725,0.6749999999999999,0.6749999999999999,0.625,0.575,0.575,0.5249999999999999,0.475,0.475,0.42499999999999993,0.375,0.375,0.32499999999999996,0.275,0.275,0.2749999999999999,0.22499999999999998,0.175,0.175,0.17499999999999993,0.125,0.07499999999999996,0.025000000000000022,0.02499999999999991,0
Settles,False Positives,Probabilities,0,4.687617376625728E-25,0,5.224424254053329E-20,0,1.18906561112718E-14,1.652969923763747E-14,0,2.4569516567221205E-16,3.885505588126515E-11,0,2.5751191365938274E-07,1.8722832237167098E-07,0,3.9846656864492997E-07,4.530291499275276E-09,0,0.00018167321025122128,0.0025453480494683363,0,0.00016015028404218524,0.0025879439038270584,0.0050759490819067745,0,0.19935901369313003,9.217755593130659E-05,0.026612374960699,0.0813427913613923,0.013249176544223987,0.059983666448799364,0.47591290753034887
P Abandons,False Positives,Values,
P Abandons,False Positives,Probabilities,
D Defaults,False Positives,Values,
D Defaults,False Positives,Probabilities,
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,1.15,1.15,0.9,0.9,0.8999999999999999,0.65,0.65,0.6499999999999999,0.4,0.4,0.3999999999999999,0.35,0.35,0.15000000000000002,0.1499999999999999,0.1,0.1,0.09999999999999998,0,0
P Wins,False Positives,Probabilities,0,6.563677598672045E-10,0,1.8327165696795918E-07,1.1702880285496913E-05,0,0.0006204863272891698,0.0008413854516473264,0,0.015046580685724396,0.008824152962296068,0,7.33576520362934E-18,0.05114349563419751,0.020284456018927612,0,1.682499825638983E-11,1.0827278265472692E-09,0,0.03612353461205493
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0.15000000000000002,0.15000000000000002,0.14999999999999997,0.14999999999999997,0.1499999999999999,0.1499999999999999
Settles,Total Expenditures,Probabilities,0,0.10549834795000008,0,0.5149309101500003,0,0.24667476230000013
P Abandons,Total Expenditures,Values,
P Abandons,Total Expenditures,Probabilities,
D Defaults,Total Expenditures,Values,
D Defaults,Total Expenditures,Probabilities,
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.29999999999999993
P Wins,Total Expenditures,Probabilities,0,0.08555281589808512,0,0.04734316370191495
