Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,0.9375,0.8375,0.7375,0.6875,0.6375,0.5875,0.5375,0.4875,0.4375,0.38749999999999996,0.3375,0.2875,0.2375,0.1875,0.13749999999999996,0.08750000000000002,0.0875,0.03749999999999998,0,0
Settles,False Negatives,Probabilities,5.224616539896192E-20,2.4563888842824724E-16,5.4811925293146976E-11,3.887099312176392E-11,6.3808938644129855E-09,4.5669497990202585E-09,3.0257192240399264E-05,2.151541948139911E-05,2.1622881448152197E-05,9.240059020299257E-05,0.00024361113503853414,0.013363059943546887,0.013348429132382827,0.015751554064911657,0.16462535323349298,0.0025032697205470667,0.013249029180978554,0.07056186020188919,0,0.2685720981123128
P Abandons,False Negatives,Values,
P Abandons,False Negatives,Probabilities,
D Defaults,False Negatives,Values,
D Defaults,False Negatives,Probabilities,
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,1.1125,0.8625,0.825,0.6125,0.575,0.3625,0.325,0.32499999999999996,0.11249999999999999,0.07500000000000001,0.07499999999999996,0,0
P Wins,False Negatives,Probabilities,7.719708663046808E-08,8.938200373393684E-05,1.9566105530076815E-11,0.0071872905696474185,7.881354470321666E-06,0.07797134389814198,0.007435687122127764,0.011581597895122395,0.04257134048457906,0.085548556138191,0.10347773751081496,0,0.1017450339565187
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,0.9375,0.9375,0.7374999999999999,0.7374999999999999,0.6875,0.6375,0.6375,0.5375,0.5375,0.48749999999999993,0.4375,0.4375,0.38749999999999996,0.33749999999999997,0.33749999999999997,0.2875,0.23750000000000002,0.23750000000000002,0.23749999999999993,0.1875,0.1375,0.1375,0.13749999999999996,0.08749999999999997,0.03749999999999998,0
Settles,False Positives,Probabilities,0,2.4579965462605497E-16,0,2.862281952419969E-14,4.608018140737045E-09,0,2.837712435852748E-14,0,3.025748356950693E-05,2.4013716438712213E-08,0,0.00013501110617990527,1.9483424939436935E-08,0,0.0036559941251735786,0.0133631643287541,0,0.015301234577814285,0.00011322525492648146,0.02907322598121201,0,0.14685373998232076,2.1047698995174835E-05,0.06002514946815032,0.07056186020188919,0.22325011353579832
P Abandons,False Positives,Values,
P Abandons,False Positives,Probabilities,
D Defaults,False Positives,Values,
D Defaults,False Positives,Probabilities,
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,1.075,1.075,0.825,0.825,0.575,0.575,0.5375,0.5375,0.325,0.325,0.32499999999999996,0.2875,0.2875,0.07500000000000001,0.07499999999999996,0.0375,0.0375,0.03749999999999998,0
P Wins,False Positives,Probabilities,0,6.99783940353335E-08,0,6.221739946345016E-05,0,0.005777111832255571,0,3.269970223359142E-12,0,0.010489304304640444,0.08539693448359391,0,1.939595490135115E-05,0.04261769526524493,0.14640859838376097,0,0.02262084272003475,0.019950497764544318,0.10427326005989652
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0.07500000000000001,0.07500000000000001,0.07499999999999996,0.07499999999999996
Settles,Total Expenditures,Probabilities,0,0.19126941720000012,0,0.3711146546500002
P Abandons,Total Expenditures,Values,
P Abandons,Total Expenditures,Probabilities,
D Defaults,Total Expenditures,Values,
D Defaults,Total Expenditures,Probabilities,
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,0.15000000000000002,0.15000000000000002,0.15,0.15,0.14999999999999997,0.14999999999999997,0.1499999999999999,0.1499999999999999
P Wins,Total Expenditures,Probabilities,0,0.05678418385932013,0,0.048148967852517134,0,0.1503280275833723,0,0.18235474885479064
