"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","All",1,0,1,0.499995,0.60154,0.29153,1,1,0.708042,0.239711,,,0.1145,,,,,0,0,0.17703,0.550298,10.2235,9.47265,19.6961,0.303855,10.2235,9.47265,0.303855,0.134156,0.281611,0.415766,0.110083,0.230904,0,0.303855,0,0.1145,0.433487,0,0,0,0.499994,0,7.5023E-06,0.60154,0.29153,0.39846,0.31001,0.1145,0,0,0.0796107,0.0974191
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","DisputeArises",1,0,1,0.499995,0.60154,0.29153,1,1,0.708042,0.239711,,,0.1145,,,,,0,0,0.17703,0.550298,10.2235,9.47265,19.6961,0.303855,10.2235,9.47265,0.303855,0.134156,0.281611,0.415766,0.110083,0.230904,0,0.303855,0,0.1145,0.433487,0,0,0,0.499994,0,7.5023E-06,0.60154,0.29153,0.39846,0.31001,0.1145,0,0,0.0796107,0.0974191
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","PFiles",0.6015,0,0.60154,0.672305,1,0.484639,1,1,0.708042,0.239711,,,0.190345,,,,,0,0,0.294294,0.550298,10.3715,9.12334,19.4949,0.505128,10.3715,9.12334,0.505128,0.22302,0.354134,0.577154,0.183003,0.269838,0,0.505128,0,0.190345,0.433487,0,0,0,0.717174,0,0.324004,1,0.484639,0,0.515361,0.190345,0,0,0.132345,0.161949
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","DAnswers",0.2915,0,0.29153,0.542763,1,1,1,1,0.708042,0.239711,,,0.392756,,,,,0,0,0.607244,0.550298,10.0222,9.25449,19.2767,0.72326,10.0222,9.25449,0.72326,0.320874,0.45349,0.774364,0.238301,0.473614,0,0.72326,0,0.392756,0.433487,0,0,0,0.555724,0,1.03935,1,1,0,0,0.392756,0,0,0.273079,0.334165
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","Litigated",0.2915,0,0.29153,0.542763,1,1,1,1,0.708042,0.239711,,,0.392756,,,,,0,0,0.607244,0.550298,10.0222,9.25449,19.2767,0.72326,10.0222,9.25449,0.72326,0.320874,0.45349,0.774364,0.238301,0.473614,0,0.72326,0,0.392756,0.433487,0,0,0,0.555724,0,1.03935,1,1,0,0,0.392756,0,0,0.273079,0.334165
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","Not Litigated",0.7085,0,0.70847,0.482396,0.437577,0,1,1,,,,,0,,,,,0,0,0,,10.3063,9.56242,19.8687,0.131273,10.3063,9.56242,0.131273,0.0573227,0.210884,0.268206,0.0573227,0.13103,0,0.131273,0,0,,0,0,0,0.477061,0,-0.427675,0.437577,0,0.562423,0.437577,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","Settles",0.1145,0,0.1145,0.55282,1,1,1,1,0.411253,0.455721,,,1,,,,,0,0,0,,10.1335,9.41651,19.55,0.45,10.1335,9.41651,0.45,0.182564,0.401469,0.584033,0.0998996,0.365215,0,0.45,0,1,0.433487,0,0,0,0.564614,0,0.491467,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","Tried",0.177,0,0.17703,0.536259,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.550298,9.9503,9.1497,19.1,0.9,9.9503,9.1497,0.9,0.41033,0.487136,0.897466,0.327817,0.543725,0,0.9,0,0,,0,0,0,0.549974,0,1.39372,1,1,0,0,0,0,0,0.449702,0.550298
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","PWins",0.0974,0,0.0974191,0.653902,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,10.4,8.7,19.1,0.9,10.4,8.7,0.9,0.586164,0.428301,1.01447,0.547863,0.256981,0,0.9,0,0,,0,0,0,0.713836,0,1.40459,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","DWins",0.0796,0,0.0796107,0.3923,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0,9.4,9.7,19.1,0.9,9.4,9.7,0.9,0.195163,0.559132,0.754295,0.0585488,0.894611,0,0.9,0,0,,0,0,0,0.349458,0,1.38041,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","Abandoned",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","Rounds1",0.2915,0,0.29153,0.542763,1,1,1,1,0.708042,0.239711,,,0.392756,,,,,0,0,0.607244,0.550298,10.0222,9.25449,19.2767,0.72326,10.0222,9.25449,0.72326,0.320874,0.45349,0.774364,0.238301,0.473614,0,0.72326,0,0.392756,0.433487,0,0,0,0.555724,0,1.03935,1,1,0,0,0.392756,0,0,0.273079,0.334165
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Risk Neutral Relative Costs 2","0","0","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
