"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","All",1,0,1,0.500001,0.5847,0.119765,1,1,0.587046,0.05,,,0.0296739,,,,,0.0377164,0.0256044,0.02258,0.5,10.4143,9.47324,19.8876,0.112444,10.4143,9.47324,0.112444,0.0967358,0.143626,0.240362,0.0933493,0.0986711,0,0.112444,0,0.0296739,0.05,0.0398117,0.0276997,0.00419071,0.500001,0,-1.63134E-05,0.5847,0.119765,0.4153,0.464935,0.0296739,0.0377164,0.0256044,0.01129,0.01129
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","DisputeArises",1,0,1,0.500001,0.5847,0.119765,1,1,0.587046,0.05,,,0.0296739,,,,,0.0377164,0.0256044,0.02258,0.5,10.4143,9.47324,19.8876,0.112444,10.4143,9.47324,0.112444,0.0967358,0.143626,0.240362,0.0933493,0.0986711,0,0.112444,0,0.0296739,0.05,0.0398117,0.0276997,0.00419071,0.500001,0,-1.63134E-05,0.5847,0.119765,0.4153,0.464935,0.0296739,0.0377164,0.0256044,0.01129,0.01129
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","PFiles",0.5847,0,0.5847,0.718509,1,0.204832,1,1,0.587046,0.05,,,0.0507506,,,,,0.0645055,0.0437906,0.038618,0.5,10.7086,9.09909,19.8077,0.19231,10.7086,9.09909,0.19231,0.165445,0.171457,0.336903,0.159653,0.094572,0,0.19231,0,0.0507506,0.05,0.0680891,0.0473742,0.00716728,0.780958,0,0.0483674,1,0.204832,0,0.795168,0.0507506,0.0645055,0.0437906,0.0193091,0.0193091
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","DAnswers",0.1198,0,0.119765,0.477594,1,1,1,1,0.587046,0.05,,,0.247767,,,,,0.314919,0.213788,0.188536,0.5,10.1597,9.48378,19.6434,0.356561,10.1597,9.48378,0.356561,0.281034,0.333758,0.614792,0.252758,0.386209,0,0.356561,0,0.247767,0.05,0.332414,0.231283,0.034991,0.457306,0,0.443286,1,1,0,0,0.247767,0.314919,0.213788,0.0942677,0.0942678
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","Litigated",0.1198,0,0.119765,0.477594,1,1,1,1,0.587046,0.05,,,0.247767,,,,,0.314919,0.213788,0.188536,0.5,10.1597,9.48378,19.6434,0.356561,10.1597,9.48378,0.356561,0.281034,0.333758,0.614792,0.252758,0.386209,0,0.356561,0,0.247767,0.05,0.332414,0.231283,0.034991,0.457306,0,0.443286,1,1,0,0,0.247767,0.314919,0.213788,0.0942677,0.0942678
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","Not Litigated",0.8802,0,0.880235,0.503049,0.528194,0,1,1,,,,,0,,,,,0,0,0,,10.449,9.47181,19.9208,0.0792291,10.449,9.47181,0.0792291,0.0716601,0.117757,0.189417,0.0716601,0.0595485,0,0.0792291,0,0,,0,0,0,0.50581,0,-0.0603323,0.528194,0,0.471806,0.528194,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","Settles",0.0297,0,0.0296739,0.437786,1,1,1,1,0.05,0.05,,,1,,,,,0,0,0,,9.9,9.8,19.7,0.3,9.9,9.8,0.3,0.12371,0.419597,0.543307,0.0247419,0.461557,0,0.3,0,1,0.05,0,0,0,0.381452,0,0.229791,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","Tried",0.0226,0,0.02258,0.5,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,0.5,10.2,9.2,19.4,0.6,10.2,9.2,0.6,0.514784,0.343653,0.858436,0.652524,0.549844,0,0.6,0,0,,0,0,0,0.5,0,1.20726,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 0.25,0.25","0","2","PWins",0.0113,0,0.01129,0.535375,1,1,1,1,0.95,0.05,,,0,,,,,0,0,1,1,11,8.4,19.4,0.6,11,8.4,0.6,1.02957,0,1.02957,1.30505,0,0,0.6,0,0,,0,0,0,0.570433,0,1.20725,1,1,0,0,0,0,0,0,1
