Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,
Settles,False Negatives,Probabilities,
P Abandons,False Negatives,Values,
P Abandons,False Negatives,Probabilities,
D Defaults,False Negatives,Values,
D Defaults,False Negatives,Probabilities,
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,1.0375,0.9263888888888889,0.9263888888888888,0.8152777777777778,0.7041666666666667,0.7041666666666666,0.5930555555555556,0.5930555555555554,0.4819444444444445,0.48194444444444445,0.4819444444444444,0.37083333333333335,0.3708333333333333,0.37083333333333324,0.25972222222222224,0.2597222222222222,0.14861111111111114,0.1486111111111111,0.14861111111111108,0.14861111111111103,0.037500000000000006,0.0375,0.03749999999999998,0,0
P Wins,False Negatives,Probabilities,1.1387030472896974E-09,4.437466295511979E-08,3.325721704878096E-08,2.7009263571698293E-06,1.213492514398881E-05,4.37290204571018E-05,0.0005702797313493323,0.0001458478601952552,0.000847783430777683,0.0008890195945203897,0.004051418040051706,0.01761679611988663,0.007670300190861734,0.004513665693603081,0.011102856191628305,0.08754089740227626,0.07667516228885418,0.06847752053934879,0.021109540826164553,0.0463414401403203,0.05845793050234258,0.04141026448538849,0.20491075627815314,0,0.3476098770417361
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,
Settles,False Positives,Probabilities,
P Abandons,False Positives,Values,
P Abandons,False Positives,Probabilities,
D Defaults,False Positives,Values,
D Defaults,False Positives,Probabilities,
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,1.1125,1.1125,1.0013888888888889,1.0013888888888889,0.8902777777777778,0.8902777777777777,0.8902777777777777,0.7791666666666668,0.7791666666666667,0.7791666666666666,0.7791666666666666,0.6680555555555556,0.6680555555555556,0.6680555555555555,0.6680555555555554,0.5569444444444445,0.5569444444444445,0.5569444444444444,0.4458333333333334,0.44583333333333336,0.4458333333333333,0.4458333333333333,0.44583333333333325,0.3347222222222223,0.33472222222222225,0.3347222222222222,0.3347222222222222,0.33472222222222214,0.2236111111111112,0.22361111111111115,0.2236111111111111,0.2236111111111111,0.22361111111111098,0.11250000000000004,0.11249999999999999,0.11249999999999999,0.11249999999999993,0.001388888888888995,0.001388888888888884,0.001388888888888773,0
P Wins,False Positives,Probabilities,0,1.1386822507143608E-09,0,7.76306838535577E-08,7.416231645337584E-07,0,1.9592732920966047E-06,1.1669521474443769E-05,1.2134929869147408E-05,0,3.205892848429712E-05,0,0.0004414090850759137,0.00012886525481369893,0.00014584617008231077,0,0.004899159675413714,0.0008890199406909076,0.007823254637292786,0.004513613388380536,0,0.013628595666838226,0.003835137521262855,0.01119636555176394,0.034482241152495756,0,0.030759057540974032,0.02220561540036667,0.046163327951008866,0.02128751342581636,0,0.12404248641525731,0.021109725218551867,0.12474738207846052,0,0.12623869282258296,0.053792876364840855,0.02128765301547602,0.16917950908205232,0.02213650169715944,0.1350075078976916
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,
Settles,Total Expenditures,Probabilities,
P Abandons,Total Expenditures,Values,
P Abandons,Total Expenditures,Probabilities,
D Defaults,Total Expenditures,Values,
D Defaults,Total Expenditures,Probabilities,
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,0.15000000000000002,0.15000000000000002,0.15,0.15,0.14999999999999997,0.14999999999999997,0.1499999999999999,0.1499999999999999
P Wins,Total Expenditures,Probabilities,0,0.3903751398947808,0,0.2927593059473317,0,0.10480729422760351,0,0.21205825993028304
