"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","All",1,0,1,0.500003,0.587449,0.179533,1,1,0.643423,0.1,,,0.0330541,,,,,0.0784875,0.0131176,0.035257,0.74202,10.294,9.45478,19.7488,0.251249,10.294,9.45478,0.251249,0.140005,0.241313,0.381318,0.189043,0.204041,0,0.251249,0,0.0330541,0.1,0.088296,0.0229261,0.0196169,0.500004,0,-4.37299E-07,0.587449,0.179533,0.412551,0.407915,0.0330541,0.0784875,0.0131176,0.00909566,0.0261615
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","DisputeArises",1,0,1,0.500003,0.587449,0.179533,1,1,0.643423,0.1,,,0.0330541,,,,,0.0784875,0.0131176,0.035257,0.74202,10.294,9.45478,19.7488,0.251249,10.294,9.45478,0.251249,0.140005,0.241313,0.381318,0.189043,0.204041,0,0.251249,0,0.0330541,0.1,0.088296,0.0229261,0.0196169,0.500004,0,-4.37299E-07,0.587449,0.179533,0.412551,0.407915,0.0330541,0.0784875,0.0131176,0.00909566,0.0261615
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PFiles",0.5874,0,0.587449,0.708104,1,0.305615,1,1,0.643423,0.1,,,0.0562671,,,,,0.133607,0.0223298,0.060017,0.74202,10.5004,9.07188,19.5723,0.427695,10.5004,9.07188,0.427695,0.238327,0.326301,0.564628,0.321803,0.262854,0,0.427695,0,0.0562671,0.1,0.150304,0.0390265,0.0333934,0.766664,0,0.0993132,1,0.305615,0,0.694385,0.0562671,0.133607,0.0223298,0.0154833,0.0445341
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","DAnswers",0.1795,0,0.179533,0.500001,1,1,1,1,0.643423,0.1,,,0.184111,,,,,0.437175,0.0730652,0.196382,0.74202,10.047,9.23519,19.2822,0.717829,10.047,9.23519,0.717829,0.51633,0.465109,0.981439,0.789471,0.679307,0,0.717829,0,0.184111,0.1,0.491808,0.127698,0.109266,0.500002,0,0.59732,1,1,0,0,0.184111,0.437175,0.0730652,0.0506628,0.14572
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","Litigated",0.1795,0,0.179533,0.500001,1,1,1,1,0.643423,0.1,,,0.184111,,,,,0.437175,0.0730652,0.196382,0.74202,10.047,9.23519,19.2822,0.717829,10.047,9.23519,0.717829,0.51633,0.465109,0.981439,0.789471,0.679307,0,0.717829,0,0.184111,0.1,0.491808,0.127698,0.109266,0.500002,0,0.59732,1,1,0,0,0.184111,0.437175,0.0730652,0.0506628,0.14572
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","Not Litigated",0.8205,0,0.820467,0.500004,0.497175,0,1,1,,,,,0,,,,,0,0,0,,10.348,9.50283,19.8508,0.149152,10.348,9.50283,0.149152,0.0576579,0.192343,0.25,0.0576579,0.100044,0,0.149152,0,0,,0,0,0,0.500004,0,-0.130705,0.497175,0,0.502825,0.497175,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","Settles",0.0331,0,0.0330541,0.460527,1,1,1,1,0.1,0.1,,,1,,,,,0,0,0,,9.8,9.6,19.4,0.6,9.8,9.6,0.6,0.225871,0.522388,0.748259,0.0903482,0.626866,0,0.6,0,1,0.1,0,0,0,0.435323,0,0.372812,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","Tried",0.0353,0,0.0352572,0.602799,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.74202,10.7229,8.07713,18.8,1.2,10.7229,8.07713,1.2,1.53978,0.365581,1.90537,3.34323,1.02363,0,1.2,0,0,,0,0,0,0.668435,0,1.23871,1,1,0,0,0,0,0,0.25798,0.74202
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PWins",0.0262,0,0.0261615,0.637255,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.6,7.2,18.8,1.2,11.6,7.2,1.2,2.07513,0,2.07513,4.50558,0,0,1.2,0,0,,0,0,0,0.724874,0,1.22509,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","DWins",0.0091,0,0.00909566,0.503692,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0,8.2,10.6,18.8,1.2,8.2,10.6,1.2,0,1.41709,1.41709,0,3.96785,0,1.2,0,0,,0,0,0,0.506103,0,1.27788,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","Abandoned",0.1112,0,0.111222,0.479146,1,1,1,1,0.723588,0.1,,,0,,,,,0.705683,0.117941,0,,9.90613,9.49387,19.4,0.6,9.90613,9.49387,0.6,0.278219,0.479636,0.757855,0.187707,0.585744,0,0.6,0,0,,0.793871,0.206129,0.176376,0.465831,0,0.460723,1,1,0,0,0,0.705683,0.117941,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","Rounds1",0.1599,0,0.159916,0.500001,1,1,1,1,0.636483,0.1,,,0.206696,,,,,0.490804,0.082028,0.220473,0.74202,10.0282,9.2395,19.2677,0.732284,10.0282,9.2395,0.732284,0.5214,0.473096,0.994496,0.828967,0.70805,0,0.732284,0,0.206696,0.1,0.490804,0.082028,0,0.500002,0,0.670593,1,1,0,0,0.206696,0.490804,0.082028,0.0568776,0.163595
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 0.5,0.5","0","4","Truly Liable",0.5,0,0.500004,0.716729,0.900745,0.179532,1,1,0.676613,0.1,,,0.0287782,,,,,0.0657969,0.0182068,0.047134,0.804671,10.5401,9.1075,19.6476,0.352364,10.5401,9.1075,0.352364,0.0766737,0.482622,0.559296,0.125406,0.408079,0,0.352364,0,0.0287782,0.1,0.0756053,0.0280152,0.0196167,1,0,4.7906E-06,0.900745,0.179532,0.099255,0.721212,0.0287782,0.0657969,0.0182068,0.0092066,0.0379273
