"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","All",1,0,1,0.499999,0.590909,0.422164,1,1,0.601704,0.171893,,,0.00215634,,,,,0.217366,0.0507009,0.056638,0.323841,10.0683,9.59379,19.6621,0.337905,10.0683,9.59379,0.337905,0.145959,0.36465,0.510609,0.151455,0.396071,0,0.337905,0,0.00215634,0.5,0.265017,0.0983524,0.0953029,0.499999,0,4.5156E-06,0.590909,0.422164,0.409091,0.168745,0.00215634,0.217366,0.0507009,0.0382962,0.0183417
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","DisputeArises",1,0,1,0.499999,0.590909,0.422164,1,1,0.601704,0.171893,,,0.00215634,,,,,0.217366,0.0507009,0.056638,0.323841,10.0683,9.59379,19.6621,0.337905,10.0683,9.59379,0.337905,0.145959,0.36465,0.510609,0.151455,0.396071,0,0.337905,0,0.00215634,0.5,0.265017,0.0983524,0.0953029,0.499999,0,4.5156E-06,0.590909,0.422164,0.409091,0.168745,0.00215634,0.217366,0.0507009,0.0382962,0.0183417
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","PFiles",0.5909,0,0.590909,0.58901,1,0.714431,1,1,0.601704,0.171893,,,0.0036492,,,,,0.36785,0.0858016,0.095849,0.323841,10.1156,9.31256,19.4282,0.571839,10.1156,9.31256,0.571839,0.247007,0.381501,0.628508,0.256308,0.434675,0,0.571839,0,0.0036492,0.5,0.448491,0.166443,0.161282,0.610553,0,0.540724,1,0.714431,0,0.285569,0.0036492,0.36785,0.0858016,0.064809,0.0310398
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","DAnswers",0.4222,0,0.422164,0.474869,1,1,1,1,0.601704,0.171893,,,0.00510784,,,,,0.514885,0.120098,0.134161,0.323841,9.882,9.4375,19.3195,0.680497,9.882,9.4375,0.680497,0.323117,0.420865,0.743982,0.336136,0.574482,0,0.680497,0,0.00510784,0.5,0.627759,0.232972,0.225749,0.477507,0,1.09099,1,1,0,0,0.00510784,0.514885,0.120098,0.0907141,0.0434469
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","Litigated",0.4222,0,0.422164,0.474869,1,1,1,1,0.601704,0.171893,,,0.00510784,,,,,0.514885,0.120098,0.134161,0.323841,9.882,9.4375,19.3195,0.680497,9.882,9.4375,0.680497,0.323117,0.420865,0.743982,0.336136,0.574482,0,0.680497,0,0.00510784,0.5,0.627759,0.232972,0.225749,0.477507,0,1.09099,1,1,0,0,0.00510784,0.514885,0.120098,0.0907141,0.0434469
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","Not Litigated",0.5778,0,0.577836,0.518359,0.292029,0,1,1,,,,,0,,,,,0,0,0,,10.2044,9.70797,19.9124,0.0876087,10.2044,9.70797,0.0876087,0.0165275,0.32358,0.340108,0.0165275,0.265725,0,0.0876087,0,0,,0,0,0,0.516432,0,-0.797063,0.292029,0,0.707971,0.292029,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","Settles",0.0022,0,0.00215634,0.87155,1,1,1,1,0.5,0.5,,,1,,,,,0,0,0,,10.2,9.2,19.4,0.6,10.2,9.2,0.6,0.0468696,0.75313,0.8,0.0374957,0.602504,0,0.6,0,1,0.5,0,0,0,0.941413,0,-1.39311,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","Tried",0.0566,0,0.0566379,0.390497,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.323841,9.30106,9.49894,18.8,1.2,9.30106,9.49894,1.2,0.705057,0.433964,1.13902,1.6111,1.2151,0,1.2,0,0,,0,0,0,0.356687,0,2.71648,1,1,0,0,0,0,0,0.676159,0.323841
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","PWins",0.0183,0,0.0183417,0.575136,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.6,7.2,18.8,1.2,11.6,7.2,1.2,2.17717,0,2.17717,4.97497,0,0,1.2,0,0,,0,0,0,0.622833,0,2.13636,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","DWins",0.0383,0,0.0382962,0.302065,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0,8.2,10.6,18.8,1.2,8.2,10.6,1.2,0,0.641809,0.641809,0,1.79706,0,1.2,0,0,,0,0,0,0.229217,0,2.99432,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","Abandoned",0.3634,0,0.363369,0.485665,1,1,1,1,0.555812,0.181152,,,0,,,,,0.598194,0.13953,0,,9.97067,9.42933,19.4,0.6,9.97067,9.42933,0.6,0.265224,0.416851,0.682075,0.139181,0.474463,0,0.6,0,0,,0.729332,0.270668,0.262276,0.493586,0,0.852369,1,1,0,0,0,0.598194,0.13953,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","Rounds1",0.3269,0,0.326861,0.404032,1,1,1,1,0.631357,0.134541,,,0.00659713,,,,,0.66501,0.155115,0.173278,0.323841,9.78929,9.50675,19.296,0.703967,9.78929,9.50675,0.703967,0.338873,0.353053,0.691926,0.375887,0.530026,0,0.703967,0,0.00659713,0.5,0.66501,0.155115,0,0.378579,0,1.53707,1,1,0,0,0.00659713,0.66501,0.155115,0.117164,0.0561147
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","33","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
