"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","All",1,0,1,0.499999,0.590797,0.422119,1,1,0.576302,0.181549,,,0.0565128,,,,,0.217299,0.0507188,0.056638,0.323841,10.0743,9.58786,19.6621,0.337857,10.0743,9.58786,0.337857,0.133782,0.362043,0.495825,0.124651,0.371043,0,0.337857,0,0.0565128,0.5,0.237774,0.0711937,0.0409499,0.499999,0,4.5156E-06,0.590797,0.422119,0.409203,0.168679,0.0565128,0.217299,0.0507188,0.0382962,0.0183417
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","DisputeArises",1,0,1,0.499999,0.590797,0.422119,1,1,0.576302,0.181549,,,0.0565128,,,,,0.217299,0.0507188,0.056638,0.323841,10.0743,9.58786,19.6621,0.337857,10.0743,9.58786,0.337857,0.133782,0.362043,0.495825,0.124651,0.371043,0,0.337857,0,0.0565128,0.5,0.237774,0.0711937,0.0409499,0.499999,0,4.5156E-06,0.590797,0.422119,0.409203,0.168679,0.0565128,0.217299,0.0507188,0.0382962,0.0183417
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","PFiles",0.5908,0,0.590797,0.589027,1,0.71449,1,1,0.576302,0.181549,,,0.0956552,,,,,0.367807,0.0858481,0.095867,0.323841,10.1257,9.3024,19.4281,0.571867,10.1257,9.3024,0.571867,0.226443,0.377065,0.603508,0.210989,0.392299,0,0.571867,0,0.0956552,0.5,0.402463,0.120505,0.0693129,0.610574,0,0.540826,1,0.71449,0,0.28551,0.0956552,0.367807,0.0858481,0.0648213,0.0310457
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","DAnswers",0.4221,0,0.422119,0.474925,1,1,1,1,0.576302,0.181549,,,0.133879,,,,,0.514782,0.120153,0.134175,0.323841,9.89625,9.42324,19.3195,0.680505,9.89625,9.42324,0.680505,0.294314,0.414645,0.708959,0.272684,0.515133,0,0.680505,0,0.133879,0.5,0.563287,0.168658,0.0970104,0.477574,0,1.09092,1,1,0,0,0.133879,0.514782,0.120153,0.0907238,0.0434516
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","Litigated",0.4221,0,0.422119,0.474925,1,1,1,1,0.576302,0.181549,,,0.133879,,,,,0.514782,0.120153,0.134175,0.323841,9.89625,9.42324,19.3195,0.680505,9.89625,9.42324,0.680505,0.294314,0.414645,0.708959,0.272684,0.515133,0,0.680505,0,0.133879,0.5,0.563287,0.168658,0.0970104,0.477574,0,1.09092,1,1,0,0,0.133879,0.514782,0.120153,0.0907238,0.0434516
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","Not Litigated",0.5779,0,0.577881,0.518315,0.291891,0,1,1,,,,,0,,,,,0,0,0,,10.2043,9.70811,19.9124,0.0875674,10.2043,9.70811,0.0875674,0.0165196,0.323619,0.340139,0.0165196,0.265791,0,0.0875674,0,0,,0,0,0,0.516379,0,-0.796861,0.291891,0,0.708109,0.291891,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","Settles",0.0565,0,0.0565128,0.723757,1,1,1,1,0.5,0.5,,,1,,,,,0,0,0,,10.2,9.2,19.4,0.6,10.2,9.2,0.6,0.142707,0.657293,0.8,0.114166,0.525834,0,0.6,0,1,0.5,0,0,0,0.821616,0,-0.475653,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","Tried",0.0566,0,0.0566379,0.390497,1,1,1,1,0.800014,0.1,,,0,,,,,0,0,1,0.323841,9.40676,9.39324,18.8,1.2,9.40676,9.39324,1.2,0.607904,0.387468,0.995373,1.21721,0.968671,0,1.2,0,0,,0,0,0,0.356687,0,2.71648,1,1,0,0,0,0,0,0.676159,0.323841
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","8","PWins",0.0183,0,0.0183417,0.575136,1,1,1,1,0.800014,0.1,,,0,,,,,0,0,1,1,11.3,7.5,18.8,1.2,11.3,7.5,1.2,1.87717,0,1.87717,3.75867,0,0,1.2,0,0,,0,0,0,0.622833,0,2.13636,1,1,0,0,0,0,0,0,1
