Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,0.975,0.775,0.725,0.575,0.525,0.475,0.375,0.325,0.275,0.22499999999999998,0.17499999999999993,0.125,0.07500000000000001,0.025000000000000022,0,0
Settles,False Negatives,Probabilities,2.920179886314147E-14,2.871052108581616E-14,2.884539814054009E-08,3.829797092442852E-09,1.9711482012183277E-08,0.0002483863425693239,3.294012371062954E-08,5.548631154359248E-05,2.129406619171534E-05,0.031481792096729654,0.1622808268464475,2.5325540938099742E-05,0.0014867095173186694,2.1351650885942396E-05,0,0.194089876800517
P Abandons,False Negatives,Values,
P Abandons,False Negatives,Probabilities,
D Defaults,False Negatives,Values,
D Defaults,False Negatives,Probabilities,
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,1.15,0.9,0.65,0.4,0.15000000000000002,0.15,0,0
P Wins,False Negatives,Probabilities,7.725907697572121E-08,9.527173721493232E-05,0.009396258999424608,0.13631204582045175,0.20838227922889754,0.11029853841624884,0,0.14580439403868597
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,0.975,0.975,0.7749999999999999,0.7749999999999999,0.725,0.575,0.575,0.5249999999999999,0.475,0.375,0.375,0.32499999999999996,0.2749999999999999,0.22499999999999998,0.175,0.175,0.125,0.07499999999999996,0.02499999999999991,0
Settles,False Positives,Probabilities,0,2.3193194307120258E-14,0,3.405254923023299E-14,2.472504959156188E-08,0,3.829797039591352E-09,2.3380109927324332E-08,0.00024402044041348494,0,2.7771411619604683E-08,5.548631154360795E-05,2.5257238794209814E-05,0.031479874188066415,0,0.16228515891527384,2.1351650885942396E-05,0.0014867095173186694,2.5325540938099742E-05,0.1940878709903407
P Abandons,False Positives,Values,
P Abandons,False Positives,Probabilities,
D Defaults,False Positives,Values,
D Defaults,False Positives,Probabilities,
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,1.15,1.15,0.9,0.9,0.8999999999999999,0.65,0.65,0.6499999999999999,0.4,0.4,0.3999999999999999,0.15000000000000002,0.15,0.15,0.1499999999999999,0
P Wins,False Positives,Probabilities,0,7.72633161853127E-08,0,2.1573539783529992E-05,7.370015645137371E-05,0,0.004973520963741025,0.004422840301338659,0,0.09671376128615543,0.03959892052789991,0.2687307323289437,0,0.024975727830704335,0.02497435748549848,0.14580365381616822
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0.15000000000000002,0.15000000000000002,0.14999999999999997,0.14999999999999997,0.1499999999999999,0.1499999999999999
Settles,Total Expenditures,Probabilities,0,4.269320000000004E-05,0,0.19561305600000015,0,0.19405538530000022
P Abandons,Total Expenditures,Values,
P Abandons,Total Expenditures,Probabilities,
D Defaults,Total Expenditures,Values,
D Defaults,Total Expenditures,Probabilities,
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.3,0.3,0.29999999999999993,0.29999999999999993
P Wins,Total Expenditures,Probabilities,0,0.4721472878710736,0,0.06907168189442278,0,0.06906989573450462
