Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,0.44999999999999996,0
Settles,False Negatives,Probabilities,0.3834566195518559,0.23636399764814256
P Abandons,False Negatives,Values,1,0
P Abandons,False Negatives,Probabilities,0.037275266506163196,0.2566641162938361
D Defaults,False Negatives,Values,0,0
D Defaults,False Negatives,Probabilities,0.00659343315639856,0.07853493324360132
P Loses,False Negatives,Values,2.8,0
P Loses,False Negatives,Probabilities,0.0001895847119698372,0.0001995501719251001
P Wins,False Negatives,Values,0.6,0
P Wins,False Negatives,Probabilities,0.0005342014130293905,0.00018829730307567076
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,0.55,0
Settles,False Positives,Probabilities,0.23636399764814256,0.3834566195518559
P Abandons,False Positives,Values,0,0
P Abandons,False Positives,Probabilities,0.2566641162938361,0.037275266506163196
D Defaults,False Positives,Values,1,0
D Defaults,False Positives,Probabilities,0.00659343315639856,0.07853493324360132
P Loses,False Positives,Values,0.6,0
P Loses,False Positives,Probabilities,0.0001995501719251001,0.0001895847119698372
P Wins,False Positives,Values,2.8,1.7999999999999998
P Wins,False Positives,Probabilities,0.00018829730307567076,0.0005342014130293905
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0,0
Settles,Total Expenditures,Probabilities,0.23636399764814256,0.3834566195518559
P Abandons,Total Expenditures,Values,0,0
P Abandons,Total Expenditures,Probabilities,0.2566641162938361,0.037275266506163196
D Defaults,Total Expenditures,Values,0,0
D Defaults,Total Expenditures,Probabilities,0.00659343315639856,0.07853493324360132
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,0.0001995501719251001,0.0001895847119698372
P Wins,Total Expenditures,Values,2.4,2.4
P Wins,Total Expenditures,Probabilities,0.00018829730307567076,0.0005342014130293905
