Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,0.975,0.875,0.775,0.725,0.675,0.625,0.575,0.525,0.475,0.425,0.375,0.325,0.275,0.22499999999999998,0.175,0.17499999999999993,0.125,0.07500000000000001,0.025000000000000022,0,0
Settles,False Negatives,Probabilities,1.0449186197828099E-19,2.679621309804738E-16,4.6009357182051514E-11,7.772545592723512E-11,9.856186758358748E-09,4.9406517474999434E-09,6.022367402511232E-05,1.7913661684197586E-05,4.28687706993162E-05,0.00015705712447833261,0.0003609792157968507,0.02383850956275015,0.009140938406121426,0.026530989254918078,0.011316909022255975,0.1620203654650084,0.007681070147214534,0.06723395733631211,0.011336613303785156,0,0.20137555083944875
P Abandons,False Negatives,Values,
P Abandons,False Negatives,Probabilities,
D Defaults,False Negatives,Values,
D Defaults,False Negatives,Probabilities,
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,1.375,1.125,0.9,0.875,0.65,0.625,0.4,0.375,0.15000000000000002,0.15,0.125,0,0
P Wins,False Negatives,Probabilities,7.713569007272586E-08,8.47547099810841E-05,3.9132178313522205E-11,0.006912830121132682,1.1406303447155325E-05,0.08291328214657302,0.022958583196824613,0.03505717285258739,0.14620950941430733,0.07179123804375408,7.042261368751425E-06,0,0.11294014307013044
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,0.975,0.975,0.7749999999999999,0.7749999999999999,0.725,0.6749999999999999,0.6749999999999999,0.575,0.575,0.5249999999999999,0.47500000000000003,0.47500000000000003,0.475,0.42499999999999993,0.375,0.375,0.32499999999999996,0.275,0.275,0.2749999999999999,0.22500000000000003,0.22499999999999998,0.175,0.175,0.17499999999999993,0.125,0.07499999999999996,0.025000000000000022,0.02499999999999991,0
Settles,False Positives,Probabilities,0,1.0448895384280426E-19,0,1.3583412978252293E-14,7.772664146176795E-11,0,4.36622260701471E-14,0,6.525490303453944E-06,1.804942335191729E-08,0,2.09822450484617E-05,4.282716935473177E-05,2.997800952550714E-08,0,0.00014353064298052579,0.004598087421658776,0,0.00014201519736055834,0.00019406564307883643,0.007671605793354196,0.026498660287910373,0,0.16202481797640794,3.238486677412647E-05,0.011336613303785156,0.06723395733631211,0.0027070031499985907,0.004974066997215943,0.23348676907831142
P Abandons,False Positives,Values,
P Abandons,False Positives,Probabilities,
D Defaults,False Positives,Values,
D Defaults,False Positives,Probabilities,
P Loses,False Positives,Values,
P Loses,False Positives,Probabilities,
P Wins,False Positives,Values,1.15,1.15,0.9,0.9,0.8999999999999999,0.65,0.65,0.6499999999999999,0.42500000000000004,0.42500000000000004,0.4,0.4,0.3999999999999999,0.17500000000000004,0.17500000000000002,0.17500000000000002,0.15000000000000002,0.1499999999999999,0,0
P Wins,False Positives,Probabilities,0,7.715539360181437E-08,0,2.1543405532716095E-05,6.440105575284667E-05,0,0.004486511982548266,0.0024998303382235557,0,1.4864109773731314E-12,0,0.0719011597071214,0.0339666194240716,4.6356885391216614E-06,0,2.4065728296297635E-06,0.19306627536525797,0.024934472092803424,0,0.14793810650536818
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0.15000000000000002,0.15000000000000002,0.14999999999999997,0.14999999999999997,0.1499999999999999,0.1499999999999999
Settles,Total Expenditures,Probabilities,0,0.04275511052002214,0,0.28430346488504965,0,0.19405538530000013
P Abandons,Total Expenditures,Values,
P Abandons,Total Expenditures,Probabilities,
D Defaults,Total Expenditures,Values,
D Defaults,Total Expenditures,Probabilities,
P Loses,Total Expenditures,Values,
P Loses,Total Expenditures,Probabilities,
P Wins,Total Expenditures,Values,0.30000000000000004,0.30000000000000004,0.29999999999999993,0.29999999999999993
P Wins,Total Expenditures,Probabilities,0,0.41742063922868367,0,0.061465400066245034
