"Specification","Fee Regime","Offers","Party Signals","Court Signals","Requested Priors","Attempted Solves","Inexact Attempts","Exact Attempts","Verified Recoveries","Distinct Reported Strategy Profiles","Equilibrium","Equilibrium Recovery Count","Recovery Share of Verified Recoveries","Verification Status","Distinctness Criterion","Exploitability","Calculation Seconds","P Files","D Answers","P Offer","D Offer","Settles","P Abandons (Mutual Give-Up Allocated)","D Defaults (Mutual Give-Up Allocated)","Mutual Give-Up Probability Before 50/50 Allocation","Trial","P Loses","P Wins","Expenditures","Meritorious-Plaintiff Net Recovery Shortfall","Nonliable-Defendant Net Burden","Liable-Defendant Excess Net Burden Above Damages","Defendant Excess Net Monetary Burden","Plaintiff Net Recovery Shortfall","Net Outcome Fidelity Loss","Total Wealth","Source File"
"Baseline","American","10","10","2","50","99","49","50","50","21","11","7","0.14000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12835","0.80894699999999997","0.43576799999999999","0.68715800000000005","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq11.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","12","3","0.059999999999999998","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12835","0.80894699999999997","0.43576799999999999","0.69365500000000002","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq12.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","13","2","0.040000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","1.7760000000000001E-15","12835","0.80894699999999997","0.43576799999999999","0.66239099999999995","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq13.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","14","2","0.040000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12835","0.80894699999999997","0.43576799999999999","0.66783800000000004","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq14.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","15","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12835","0.80894699999999997","0.43576799999999999","0.67273400000000005","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq15.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","16","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12836","0.80894699999999997","0.43576799999999999","0.68549800000000005","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq16.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","17","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12836","0.80894699999999997","0.43576799999999999","0.66677500000000001","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq17.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","18","2","0.040000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12836","0.80894699999999997","0.43576799999999999","0.66157100000000002","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq18.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","19","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","1.7760000000000001E-15","12836","0.80894699999999997","0.43576799999999999","0.65341400000000005","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq19.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","20","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","1.7760000000000001E-15","12836","0.80894699999999997","0.43576799999999999","0.66511500000000001","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq20.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","21","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12837","0.80894699999999997","0.43576799999999999","0.71924200000000005","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq21.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","1","18","0.35999999999999999","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18131","0.82186999999999999","0.43881500000000001","0.52681500000000003","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq1.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","2","12","0.23999999999999999","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18131","0.82186999999999999","0.43881500000000001","0.54412400000000005","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq2.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","3","5","0.10000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18131","0.82186999999999999","0.43881500000000001","0.54085399999999995","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq3.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","4","3","0.059999999999999998","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18131","0.82186999999999999","0.43881500000000001","0.55816200000000005","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq4.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","5","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18131","0.82186999999999999","0.43881500000000001","0.51278299999999999","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq5.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","6","2","0.040000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18132","0.82186999999999999","0.43881500000000001","0.53335699999999997","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq6.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","7","5","0.10000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18132","0.82186999999999999","0.43881500000000001","0.51604899999999998","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq7.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","8","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18132","0.82186999999999999","0.43881500000000001","0.505301","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq8.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","9","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18132","0.82186999999999999","0.43881500000000001","0.51352100000000001","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq9.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","10","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","0","18132","0.82186999999999999","0.43881500000000001","0.50083299999999997","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq10.csv"
"Baseline","British","10","10","2","50","99","49","50","50","11","11","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","18132","0.82186999999999999","0.43881500000000001","0.51391600000000004","0.050000000000000003","0.18260999999999999","0","0","0","0.25620500000000002","0.12810299999999999","0.12810199999999999","0.26596399999999998","0.41772900000000002","0.39644299999999999","0.094931399999999999","0.24568899999999999","0.20886199999999999","0.45455099999999998","19.734000000000002","CS004ME Specification-Baseline__Cost-1__Fee-British__Starts-50 -Eq11.csv"
