Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,1.0125,0.9125,0.8125,0.7125,0.6125,0.5125,0.4125000000000001,0.3125,0.2124999999999999,0
Settles,False Negatives,Probabilities,0.02207982734903494,0.003787868743341389,0.029196190580781562,0.011555101392727378,0.03164712487166817,0.009407749052167383,0.08756051876725285,0.04779165238016552,0.13698605662243657,0.39788744757375716
P Abandons,False Negatives,Values,
P Abandons,False Negatives,Probabilities,
D Defaults,False Negatives,Values,
D Defaults,False Negatives,Probabilities,
P Loses,False Negatives,Values,1.15,0
P Loses,False Negatives,Probabilities,0.028061475729698002,0.0739561525073133
P Wins,False Negatives,Values,0.15000000000000002,0
P Wins,False Negatives,Probabilities,0.09192034756120603,0.0281624868684491
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,1.0125,0.9125000000000001,0.8125,0.7124999999999999,0.6125,0.5125,0.4125,0.3125,0.2125,0.012499999999999956,0
Settles,False Positives,Probabilities,0.013668122344229991,0.005954585919834441,0.03327311519941373,0.0023815527144992717,0.024903953228331784,0.02532533430727258,0.06813034315255163,0.027761540223325252,0.1964889004842982,0.13698605662243657,0.24302603313713927
P Abandons,False Positives,Values,
P Abandons,False Positives,Probabilities,
D Defaults,False Positives,Values,
D Defaults,False Positives,Probabilities,
P Loses,False Positives,Values,0.15,0
P Loses,False Positives,Probabilities,0.0739561525073133,0.028061475729698002
P Wins,False Positives,Values,1.15,0.1499999999999999
P Wins,False Positives,Probabilities,0.0281624868684491,0.09192034756120603
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0.2250000000000001,0.2250000000000001,0.22500000000000003,0.22500000000000003,0.22499999999999998,0.22499999999999998,0.22499999999999992,0.22499999999999992,0.22499999999999987,0.22499999999999987
Settles,Total Expenditures,Probabilities,0.03922770111924818,0.13535217114741835,0.024903953228331784,0.03164712487166817,0.3177061181674477,0.06661898806588529,0.0023815527144992717,0.009407749052167383,0.013668122344229991,0.13698605662243657
P Abandons,Total Expenditures,Values,
P Abandons,Total Expenditures,Probabilities,
D Defaults,Total Expenditures,Values,
D Defaults,Total Expenditures,Probabilities,
P Loses,Total Expenditures,Values,0.3,0.3
P Loses,Total Expenditures,Probabilities,0.0739561525073133,0.028061475729698002
P Wins,Total Expenditures,Values,0.29999999999999993,0.29999999999999993
P Wins,Total Expenditures,Probabilities,0.0281624868684491,0.09192034756120603
