Equilibrium Type,OptionSetName,Specification,Signal Structure,Information Level,Party Signal Sigma,Court Signal Sigma,Costs Multiplier,Fee Shifting Multiplier,Fee Regime,Risk Aversion,CARA Alpha,Fee Shifting Rule,Relative Costs,Filing and Answering,Allow Abandon and Defaults,Probability Truly Liable,Noise to Produce Case Strength,Issue,Proportion of Costs at Beginning,Liability Signal Shaping,Damages Signal Shaping,Number of Signals,Number of Court Signals,Number of Offers,Quality Distribution,Quality-Truth Link,Integration Method,Quadrature Order,Detailed Signal Reporting,Signal Owner,Signal Index,Signal Probability,P Filing Probability,D Answering Probability Unconditional,D Answering Probability Conditional on Filing,Reaches Bargaining Probability,P Offer Mean,D Offer Mean,Offer-Overlap Acceptance Conditional on Reaching Bargaining,P Abandonment Probability Unconditional,P Abandonment Probability Conditional on Reaching Bargaining,D Default Probability Unconditional,D Default Probability Conditional on Reaching Bargaining,Mutual Give-Up Probability Before 50/50 Allocation,Settlement Probability Unconditional,Settlement Probability Conditional on Reaching Bargaining,Trial Probability Unconditional,Trial Probability Conditional on Reaching Bargaining,P Trial Win Probability Unconditional,P Trial Loss Probability Unconditional,P Offer 1 Action 1,D Offer 1 Action 1,P Offer 1 Action 2,D Offer 1 Action 2,P Offer 1 Action 3,D Offer 1 Action 3,P Offer 1 Action 4,D Offer 1 Action 4,P Offer 1 Action 5,D Offer 1 Action 5,P Offer 1 Action 6,D Offer 1 Action 6,P Offer 1 Action 7,D Offer 1 Action 7,P Offer 1 Action 8,D Offer 1 Action 8,P Offer 1 Action 9,D Offer 1 Action 9,P Offer 1 Action 10,D Offer 1 Action 10
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,1,0.080500000000000002,1,1,1,1,0.74080599999999996,0.050000000000000003,0.232438,0,0,0,0,0,0.232438,0.232438,0.767562,0.767562,0.076352400000000001,0.69120899999999996,0.23243800000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76756199999999997,0
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,10,0.080399999999999999,1,1,1,1,0.94878499999999999,0.94999999999999996,1,0,0,0,0,0,1,1,0,0,0,0,0.0013500400000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99865000000000004,1
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,2,0.097699999999999995,1,1,1,1,0.77257900000000002,0.050000000000000003,0.197134,0,0,0,0,0,0.197134,0.197134,0.802866,0.802866,0.117759,0.68510700000000002,0.197134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80286599999999997,0
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,3,0.1062,1,1,1,1,0.81072699999999998,0.050000000000000003,0.154747,0,0,0,0,0,0.154747,0.154747,0.845253,0.845253,0.18531600000000001,0.659937,0.154747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84525300000000003,0
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,4,0.1081,1,1,1,1,0.85171699999999995,0.050000000000000003,0.109203,0,0,0,0,0,0.109203,0.109203,0.890797,0.890797,0.28654099999999999,0.60425600000000002,0.10920299999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89079699999999995,0
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,5,0.1076,1,1,1,1,0.88919700000000002,0.050000000000000003,0.0675587,0,0,0,0,0,0.0675587,0.0675587,0.932441,0.932441,0.41904400000000003,0.51339800000000002,0.067558699999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93244099999999996,0
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,6,0.1076,1,1,1,1,0.91730400000000001,0.050000000000000003,0.0363291,0,0,0,0,0,0.0363291,0.0363291,0.963671,0.963671,0.56491899999999995,0.398752,0.036329100000000003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96367100000000006,0
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,7,0.1081,1,1,1,1,0.93446700000000005,0.050000000000000003,0.0172594,0,0,0,0,0,0.0172594,0.0172594,0.982741,0.982741,0.69818000000000002,0.28456100000000001,0.017259400000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98274099999999998,0
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,8,0.1062,1,1,1,1,0.94323500000000005,0.050000000000000003,0.0075164,0,0,0,0,0,0.0075164,0.0075164,0.992484,0.992484,0.80067900000000003,0.191804,0.0075164000000000003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99248400000000003,0
Only Eq,Specification-AllCostsAvoidable__Cost-0.25__Fee-American,All litigation costs avoidable at bargaining,Continuous merits,1x,0.2000000000,0.2000000000,0.25,0,American,Risk Neutral,0,English,1,Endogenous,true,0.5,N/A,Liability,0,Identity,Identity,10,2,10,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),Gauss-Legendre,64,true,Defendant,9,0.097699999999999995,1,1,1,1,0.94716100000000003,0.050000000000000003,0.00315463,0,0,0,0,0,0.00315463,0.00315463,0.996845,0.996845,0.86968299999999998,0.127163,0.0031546299999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99684499999999998,0
